kc,cluster
糖耐量受损,280
意外伤害,43
品味,-1
射流冲击传热,268
自然人姓名权,-1
假命题,71
亲电取代,-1
代理权,102
堆排序算法,229
电子仪器仪表,50
分子构型,-1
重构,-1
字符串,-1
稳定性,206
神经网络,-1
排序算法,229
化学性质,260
市场定位,107
耐久性,206
极化作用,250
学生评价分类,94
负面偏差,38
指针,-1
管理职能,136
白酒品评操作要求,5
常量赋值,-1
操作风险,127
经济不协调,-1
社交媒体,-1
反馈,-1
行为科学,-1
学习器,-1
骨盆倾斜度,58
柏拉图思想,221
经济增长,-1
地震,43
溶液,-1
空气处理设备,111
财经报道,210
粘性系数,-1
命题形式,71
多媒体组合教学,-1
城市化进程,47
教育评价的对象,94
垂直,177
应收账款周转率,-1
古希腊哲学,221
WebofScience,234
碳水化合物,281
泊松定理,215
依法治国,235
数据仓库系统,23
勾兑,-1
操作系统,-1
拟合优度检验,48
汇率,186
和合文化,232
悲剧哲学,221
进程,131
恶性肿瘤,274
优先级,-1
系统进程,131
集中参数法,-1
免费注册,-1
军委主席,-1
边界层,139
应激性溃疡,-1
再灌注,161
接触热阻,268
红黑树,-1
混合气体热导率计算,-1
组织工作,125
短板,-1
爱奥尼亚柱式,133
内涵,-1
庄子,191
铜晶体,61
进口值,-1
点缺陷,-1
漫灰表面,161
有限元,-1
风险管理,-1
资本主义生产关系,242
发热,249
茶树,0
PICO原则,63
分子和热学动理论,-1
特定物,-1
凯恩斯模型,20
等离子体,284
易用,-1
机器学习案例,141
二氧化碳,285
对象指针,-1
二苯甲烷,285
白酒,-1
班主任在教育过程,-1
酰氯,278
巨型建筑,35
双层伸展,-1
核函数的选择,-1
学记,-1
中国绘画,-1
条件性,-1
产品价值分析,-1
字符串函数,-1
活化能,-1
正反应速率,238
零件,-1
速率变量,150
LinkedIn,234
战略选择,85
平均深度,150
无穷积分的收敛性,183
矩阵,29
市场累加法,107
交叉学习,100
量变引起质变,122
活动踪迹预测,-1
供电子基,50
多数表决,-1
共基放大电路,56
种子,2
网络营销,230
人体身体形态,154
线性,176
低张性缺氧,-1
工业区位理论,-1
物理变化,122
脂肪肝,279
后现代主义课程理论,-1
矿石,129
发散思维,64
氢化铝锂,283
贝叶斯法,40
气体温度,253
装配图,132
种植施工图,-1
简谐波的波函数,30
认知主义学习理论,-1
非暴力沟通,67
血氨,282
雾霾,-1
办公自动化,-1
对数平均温差,-1
依法执政,235
产品的形状,75
旋光,49
焦点,-1
循环结构,209
健康相关生存质量量表的评价,-1
力学,-1
侵权责任,95
基酒,6
高容量性低钠血症,277
事业部型组织结构,208
起诉,-1
金属热导率,271
阻容耦合放大电路,56
热力学几率,254
供应链变量,68
投资组合,-1
LU分解,-1
幸福,-1
数据集,26
Kopernio高级用户,-1
第二类边界条件,139
数字电路,55
连带责任,96
助人,43
细胞通讯,67
人工智能作用,140
临界资源,139
保护,33
蕴涵,-1
资源配置,31
官僚制,241
费曼学习法,100
秦国外交,219
均匀壁温条件,249
指数函数,259
渐近线方程求解,195
寡头垄断,-1
脱氧核糖,281
储蓄形式,-1
低自旋配合物,197
键角,-1
超越功能,17
急性踝关节扭伤,149
市场占有率,107
酿造工艺,7
单值性条件,207
代偿,-1
实对称矩阵,29
社会市场营销观念,105
创业大赛,83
水面蒸发,257
象征,-1
白酒评酒员,5
岩石园植物,52
市场,108
成长型思维,64
发芽率,-1
完全竞争,93
刘邦西进受降,220
kmp算法,228
保守力,-1
小数定标规范化,-1
稳定电路,55
投资类资产负债表,171
习得性无助,-1
司马炎,218
位图,132
正调节体温调节中枢,249
转折点,169
报税,126
楚汉之争,220
化学腐蚀,260
免责条款,-1
投资活动现金流量,158
二级市场,108
失业保险,4
课程实施的关键,104
数据仓库测试,23
硅谷变迁,-1
动能表达式,-1
人格权,101
风媒花传粉,60
管理活动,136
采访对象,124
城市的危机形态,144
凝结换热,267
毛细血管,-1
局限性,-1
文献,-1
研究领域,153
侵犯隐私权,88
氢键,-1
推理形式,73
实质性,206
格氏试剂,265
希腊哲学,221
科学-实证主义课程评价观,104
螺纹孔画法,132
银,-1
CSCD,240
轴测图,177
酒精含量,-1
过渡态,21
数据规范化,-1
资本主义基本矛盾,242
2元信号量,160
社会改造主义课程理论,-1
产品特色,75
管理学特点,136
酯化反应,250
目标阶梯图,15
特种文献,92
教学机,-1
电子书,50
A/Btesting,234
新闻摄影,214
数码照片,226
波粒二象性,30
线性关系,176
通信,67
市场利率,-1
中文核心期刊要目总览,91
潜在GDP,142
遍历序列,-1
数据架构,23
垂直失调,-1
连续函数的最值存在性,236
分子偶极距,-1
OLAP,-1
五力模型要素,20
亲核加成反应,250
乙烯,285
苯甲醛,285
共同富裕,32
热化学方程,254
中枢正调,178
M型(多元结构),-1
巴蜀之乱,-1
配合物命名,-1
物流管理信息系统,137
早期哲学,221
网络图法,231
集成运放,-1
表冷器,-1
钝化基,265
克莱森酯缩合反应,250
社会主义改革开放,248
教室坏境,-1
sp2轨道杂化键,222
球壳稳态导热,261
秦朝,219
极端天气,249
数据,-1
金融中介,76
stream信息处理,-1
分娩机制,18
筹资活动,-1
PQDT,234
大众创业,83
身体权,102
并行性,207
轴点选取策略,177
物理内存管理,137
圆筒壁稳态导热,261
创业者,83
左式堆,-1
收益率曲线,162
宏观环境,-1
教育价值取向,-1
表面效应,12
存在主义课程理论,104
基本放大电路,56
考试,-1
社会主义过渡,248
数据处理,25
纠正偏差,38
现代设计,19
传统媒体,213
谷歌,-1
预防评估,-1
数据平滑,-1
三个代表,-1
教学评价设计,94
高原肺水肿,-1
肺癌,274
临床决策分析,151
电极反应,-1
网络保险模式,230
财务数据,147
新风,111
NoteExpress数据库,-1
算子理论,-1
现金流量表,158
碱,-1
经营,-1
企业所得税,126
短期失业,4
引证报告,-1
塔式住宅,34
优先购买权利,102
中印边界作战,-1
规则式种植,-1
拉瓦锡,121
混凝土硫酸盐侵蚀破坏,-1
热边界条件,139
促销策略,86
机械系统,-1
组织结构,-1
教学设计,-1
牛津循证医学,-1
创业,83
肾脏疾病,-1
生产剩余价值,106
悖论,74
深度学习优化算法,-1
跨库检索,-1
御灾救荒,43
进程通信机制,131
意外,43
休克患者心功能障碍,272
有效辐射,266
石油文化的文艺表现形态,11
氢气,283
析构函数,-1
经济物品,-1
断裂行文,149
驻波,-1
目标确立,15
自由落体,169
现代教育制度,-1
通货,-1
汇丰银行,163
差分放大电路,56
维数,115
复利,-1
PHP会话管理,1
豉香型白酒,9
鼓励方式,42
王阳明,191
文言,-1
逐客令,-1
相机防水,226
恒温条件,249
能源工业,-1
内节点离散方程,195
实施货币政策,192
资源,-1
论十大关系,59
系统动力学,-1
风机调节方式,111
逻辑斯蒂回归,74
乙醇,-1
蒸气压,-1
营养,281
权责发生制,-1
中位数选取算法,228
中期财务报告,147
离子键,284
绝对导数,198
正交矩阵,29
力,217
大数据特征,-1
苏联侵阿战争,202
工位送风,111
月球自转,169
股票,163
子公司,98
古典艺术,-1
民事责任,-1
取景方式,226
GAD自身抗体,-1
合式风险治理框架,-1
潜伏期,124
病例对照研究,151
IS曲线,162
物质性人格权,101
蒸馏,257
几何域,184
妊娠,18
完全弹性碰撞,-1
假性神经递质,-1
介质,-1
对称因素,-1
数据库,-1
复合材料和生物材料,-1
距骨,58
负债总额,-1
职责,-1
幾,-1
自转,169
潜热负荷,-1
呈香物质,190
函数定义的语法,258
类,41
违约责任,-1
阳刚武德,233
普利策新闻奖,214
我国现代学校教育制度演变历程,-1
放射性思维,64
自发反应,251
水合配离子,284
物质熔点,253
水蒸气,-1
中心原子,222
功,-1
祆教,-1
台湾,205
质性评价模式,-1
4P营销策略,86
视觉媒体及常用设备,-1
危机生命周期,144
空间复杂度,175
平均自由程,150
行列式的计算,-1
保护现场,33
氢离子浓度,284
flash软件,245
苯环,285
PHP文件函数,1
冲泡茶,0
湍流,172
产业不协调,32
电熨斗,-1
BALIS文献传递服务平台,-1
急性呼吸窘迫综合征,273
广场协议,-1
边际替代率,-1
自花传粉,60
吸烟,264
配位数,174
电源,53
输出特性,188
波义尔,121
扁平结构,209
古代希腊哲学著作,221
借款合同,78
手表,-1
有心力场,-1
三家分晋,-1
凝结面积,-1
带默认值参数值的函数,-1
核外电子排布,50
自然对流,-1
直式结构,209
教师专业化发展途径,-1
顺德,-1
秦国吕不韦,219
战略布局,85
中印边界,-1
电流,-1
统计学专,-1
基团,157
唐朝土地制度,-1
牛顿定律,215
合同无效情形,78
熵值,122
酸碱质子理论,-1
阿佛加德罗常数,-1
负反馈,38
摩擦力,217
塔利班,-1
正交投影,189
扩张性货币政策,192
拙政园,-1
后进生,-1
原电池,-1
数据预处理,25
酒度,-1
民事行为,69
麦克利兰,121
美国住宅趋势,34
肾小管内液,-1
多普勒效应,12
失业率,4
体制,235
生命科学,-1
词项,156
货币供应量,193
尿量改变,-1
酱中带浓白酒,-1
信息披露,166
开放经济,80
解空间,175
函数单调性,-1
事务数据库,-1
直线结构,209
气体样品,255
知识网络链接,231
国家因素,-1
共集放大电路,56
虚拟内存管理,137
简单国民收入,-1
管理层次,136
社会冲突管理,-1
地理学,-1
服务器,-1
支出,182
克劳修斯,121
泰勒级数,120
贝叶斯分类,40
名义汇率,187
潜在种子产量,2
反差式,133
长江三角洲,204
陶瓷及陶瓷材料,-1
互联网,231
植物,-1
电视,-1
支链淀粉,-1
酯化反应机理,250
微博,-1
氢,283
泛型程序设计,-1
商鞅变法,-1
广义坐标,113
高血压,277
函数,-1
独立试验,48
腺癌,274
职能结构,-1
功能系统图,-1
以色列,199
白酒品评的准确性,5
不安抗辩权,-1
中国特色社会主义共同理想,247
二级反应,252
新闻主题,214
间隔学习,100
所有者权益变动表,-1
角动量守恒,-1
熔点,253
BMI,-1
相对速度,150
广告,-1
消费者心理,81
肖像权,102
空间单体,175
危机事件,144
微分运算,-1
货币政策规则,192
决策,27
合同无效,78
供应链网络优化设计,68
极大似然估计,160
创业36条军规,83
临床决策,151
非稳态导热方程隐式格式,-1
植物景观分区,51
K近邻分类法,185
直接耦合放大电路,56
检索课题,-1
外延,-1
非稳态导热解,261
反应速率方程式,238
心肺复苏术,273
资本主义贫富差距,242
T细胞,-1
审美功能,17
西周,-1
运算放大器,57
大数据分析,-1
进制转换,-1
禾本科种子,2
终身教育,110
左枕前位,178
对映异构体,194
吴起,-1
所有权,102
无效合同,78
事件独立性,-1
体系能量,196
环境污染责任,-1
零敲牛皮糖,281
卡尔文循环,22
循证医学,-1
特征空间,175
真实变量,180
事件的概率,170
函数的极值点,236
大容器饱和沸腾,-1
损害赔偿,-1
个体认知偏差,38
美国汽车企业,98
阿富汗新战略,-1
技术,134
热量,-1
抑郁指数,90
节点删除操作,-1
口语伙伴,67
计数排序算法,228
时间片,-1
路易·大卫,121
阿富汗,-1
电压电流同相位,53
角加速度,150
投资,171
沉浸叙事,-1
植物景观设计,51
优势反应,-1
间壁式换热器,267
新闻跳笔,214
国民储蓄,-1
资产负债表日后事项,-1
开疆拓土,-1
核心期刊,-1
指导思想,-1
资料收集阶段,124
计算机,244
空中走廊,175
地区数据,-1
一阶齐次线性微分方程,195
酱香型白酒,-1
法人,-1
顾客忠诚因素,81
汉高祖继承人,-1
经济地理学,79
规划谬误,-1
两级放大电路,-1
费雪效应,12
老慢支,276
薪酬设计,-1
最小二乘解,-1
矩阵的逆,29
新闻事件,214
隐马尔可夫模型,20
苏格拉底,-1
能隙,196
main函数,-1
线性组合,176
顺流式换热器,267
建筑环境,35
卤化反应,250
彭博社,-1
2-丁酮,-1
何不食肉糜,-1
准确性,-1
sp轨道杂化键,222
肝功能,279
人均GDP,142
热流量,-1
时差,38
电容,-1
分布函数,-1
收入费用,181
腰臀比,154
赔偿责任,96
曹操,218
叉排排列,-1
数据归约,25
离群点,-1
云爆弹,-1
公允价值计量,106
环境,-1
角量子数,174
朝鲜停战,203
知识掌握,-1
静态工作点,-1
质量分析法,14
数据变换类型,-1
努塞尔数,174
人为,-1
羟醛缩合反应,250
弹药,-1
国际贸易,-1
函数的性质,259
便携式CD播放器,244
标准正交基,165
理想气体温标,-1
社会主义建设道路,247
白酒品评影响因素,5
印度支那,-1
手性化合物,-1
摩擦力做功,217
泡利不相容原理,-1
位置,70
企业特有风险,127
OVID,-1
罗丹,121
儿童游戏场活动范围,-1
市场发展,107
身体肥胖评估标准,154
程序需要,131
价层电子对互斥理论,-1
中心地,70
区间估计,160
p区元素,-1
上甘岭战役,203
沙漠之狐,-1
电容电压,53
PHP函数,1
时间成本,181
吉布斯自由能,-1
环己甲酸合成,-1
共基电路,55
维持功能,17
霍去病墓,-1
轴的转动惯量,224
外掠圆管换热,267
机遇,-1
稀释,-1
侵害名誉权,88
数据挖掘应用,-1
正面情绪,90
社会冲突谈判,67
散列变换,-1
风机,111
课程实施主体,104
流动性危机,127
阴阳,148
面向对象的概念,124
零杆,-1
米香型白酒,9
金属材料,-1
我国古代教育思想,-1
胜利油田,10
佛罗里达州,205
0向量,175
共射放大电路,56
基本变量,180
危机,144
水观法,-1
归宿,-1
营业成本,181
战国时期,219
经济说,79
流行病学家,-1
应激性高血糖,277
母公司,98
盖斯定律,215
波茨坦会议,-1
状态函数,-1
创业者特征,83
Boosting思想,-1
慢性胃炎,275
卫生间,-1
治疗性研究结果,151
学校教育制度,-1
经营战略,85
黎巴嫩战争,202
同时性,207
磺化反应,250
处分权,102
味觉,-1
连续分质贮存,44
生产关系,-1
自传播,60
离散型随机变量,180
控制工作过程,130
画家,-1
马克思主义的中国化,237
抗美援朝,203
